question,answer,answer_text,page
1,C,Reverse transcriptase,1
2,D,5'...RNA polymerase,1
3,B,I and III only,1
4,C,Tryptophan,1
5,D,64%,1
6,C,50%,1
7,C,Schwann cell,1
8,A,Dorsal root ganglion,1
9,A,Light/dark...color,2
10,D,K-selected,2
11,B,tumor suppressor,2
12,D,Pyruvate,2
13,A,gastrulation,2
14,B,maintaining ... increased,2
15,B,sexual selection,2
16,A,spiral ... determinate,2
17,B,vertebrae,2
18,B,gap junctions,2
19,B,Diffuse across cell membranes,3
20,B,cofactor,3
21,C,"right atrium, right ventricle, lungs, left atrium, left ventricle, body",3
22,D,geographic,3
23,C,Carboxyl and amine,3
24,B,Facilitated diffusion,3
25,B,II,3
26,C,Movement through xylem depends mainly on transpiration,3
27,D,"+/-, +/+",3
28,B,Beetle - secondary consumer,4
29,C,"Hydra initially contract when gently touched, but soon stop responding.",4
30,A,Epistatic,4
31,D,"I, II, and III",4
32,D,Coral reef,4
33,D,dark reaction (Calvin cycle) of photosynthesis,4
34,B,It uses carbon dioxide,4
35,D,diploid sporophyte,4
